isbn,title,authors,overview
9780374279417,Trying It Out In America: Literary And Other Performances,"['Poirier, Richard']",
9780374279455,Tsvetaeva,['Viktoria Schweitzer'],
9780374279509,The Tummy Trilogy: With A New Foreword,"['Trillin, Calvin.']",
9780374279653,20:21 Vision: Twentieth-century Lessons For The Twenty-first Century,['Bill Emmott'],
9780374280208,Two-part Invention: The Story Of A Marriage,"[""Madeleine L'engle""]",
9780374280222,Typical: Short Stories,['Padgett Powell'],
9780374280253,Two Murders In My Double Life,['Josef Skvorecky'],"<p>""A complex bio-mystery about the Kafkaesque machinations of politics."" (Aritha van Herk, <i>The Globe and Mail</i>)</p>
<p>In Josef Skvorecký's first novel written in English, the narrator lives in two worlds: the exile world of post-Communist Czechoslovakia, where old feuds, treacherous betrayals, and friendships that have lasted through wars, occupations, and revolutions survive; and the fatuously self-congratulatory comfortable world of a Canadian university, in which grave attention is given to matters such as whether a certain male professor has left his office door open wide enough while interviewing a female student.</p>
<p>Murder suddenly intrudes upon both of these worlds. One features a young female sleuth, a college beauty queen, professional jealousies, and a neat conclusion. The other is a tragedy caused by evil social forces, in which a web of lies works insidiously to entangle Sidonia, who is a publisher of suppressed books and the narrator's wife.</p>
<p>A brilliantly stylish tour de force in which the bright, sarcastic comedy of one tale sharply contrasts with the dark, elegiac bitterness of the other, <i>Two Murders in My Double Life</i> confirms Skvorecký's reputation as one of our most versatile, engaging, and compassionate writers.</p>
<p>Josef Skvorecký is the author of <i>The Cowards</i>, <i>The Bass Saxophone</i>, <i>The Engineer of Human Souls</i>, and <i>Dvorak in Love</i>, among other works. He is the winner of Canada's Governor General's Award. He and his wife, Zdena, divide their time between Toronto and Venice, Florida.</p>"
9780374280314,Ulverton,"['Thorpe, Adam']",
9780374280352,The Unburied,"['Palliser, Charles , 1947-']",
9780374280390,Uncommon Carriers,['John Mcphee'],
9780374280758,The Disinherited: A Novel,['Han Ong'],"<p>Manila, 2000. Forty-four-year-old Roger Caracera returns to his birthplace after nearly three decades in the United States. He has come to bury the corrupt, charismatic head of the family sugar dynasty: his estranged father, Jesus. To Caracera's chagrin and pleasure, he is now viewed by his countrymen as the representative American; a local tabloid even refers to him as a General Douglas MacArthur look-alike. And when his father's will is read, Caracera is stunned to discover that he has been left half a million dollars.</p>
<p>Unable to live with this burdensome inheritance, he decides to give his money away. But who among the millions of needy Filipinos is he to focus on?</p>
<p>Traversing high and low life, societies rank and respectable, and with a cast of characters that includes a slum-dwelling boy hustler, a middle-aged American pederast, a rising Filipino tennis player, a calculating society matron, and a Peace Corps worker turned trophy wife, <i>The Disinherited</i> is an incisive and illuminating exploration of the impulse to do good in the world and the paradoxical harm brought on by generosity.</p>"
9780374280796,A Home In The Heart Of A City: A Woman's Search For Community,['Kathleen Hirsch'],"For every city dweller seeking richness and connection in contemporary urban life. 
<p>When Kathleen Hirsch first moved to Jamaica Plain, an unassuming neighborhood in Boston, she was looking for a place to belong, to set down roots. Was it possible, she wondered, to find community in a contemporary city? A Home in the Heart of a City is Hirsch's exuberant and hopeful response. We follow her as she meets extraordinary individuals, including the protector of a local park, an urban gardener, and a corporate lawyer turned community advocate. They become her guides, showing that living well in community is as much about the personal choices we make to work, play, and associate in certain ways as it is about the grassroots institutions we build to foster community life.</p>"
9780374280826,Machete Season: The Killers In Rwanda Speak,['Jean Hatzfeld'],
9780374280994,White House Diary,['Jimmy Carter'],"<p>""The personally annotated diary of President Jimmy Carter---filled with insights into his presidency, his relationships with friends and foes, and his lasting impact on issues that still preoccupy America and the world"" ""Each day during his presidency, Jimmy Carter made several entries in a private diary. He provided unvarnished assessments of cabinet members, congressmen, and foreign leaders; he narrated the progress of secret negotiations such as those that led to the Camp David Accords; he recorded his thoughts, impressions, delights, and frustrations. When his four-year term came to an end in early 1981, the diary amounted to more than five thousand pages. This extraordinary document has never been made public---until now."" ""By selecting the most illuminating and relevant entries, Carter has provided us with an astonishingly intimate view of his presidency. Day by day, we see his forceful advocacy for sustainable energy, nuclear containment, human rights, and peace in the Middle East. We witness his interactions with such complex personalities as Teddy Kennedy, Henry Kissinger, Joe Biden, Anwar Sadat, and Menachem Begin. We get the inside story of his so-called ""malaise speech,"" his bruising battle for the 1980 Democratic nomination, and his relentless efforts to resolve the Iranian hostage crisis. Remarkably, we also get Carter's retrospective comments on these topics and more: thirty years after the fact, he has annotated the diary with candid reflections on the people and events that shaped his presidency, and on the many lessons he learned."" Carter is now widely seen as one of the truly wise men of our time. Offering an unprecedented look at both the man and his tenure, this fascinating book will stand as a unique contribution to the history of the American presidency.</p>"
9780374281014,Harold: The Boy Who Became Mark Twain,['Hal Holbrook'],
9780374281038,Untold Stories,['Alan Bennett'],"<p>An instant bestseller in the U.K., <i>Untold Stories</i> brings together the finest and funniest writing by one of England's best-known literary figures. In his first major collection since <i>Writing Home,</i> Alan Bennett opens with a poignant memoir of growing up in Leeds and closes with an account of his cancer diagnosis and recovery, with everything from his much-celebrated essays to his irreverent comic pieces and reviews in between.</p>"
9780374281076,Reinventing Bach,['Paul Elie'],
9780374281106,,,
9780374281144,Train Dreams: A Novella,['Denis Johnson'],"<p>Denis Johnson’s <i>Train Dreams</i> is an epic in miniature, one of his most evocative and poignant fictions.</p>
<p>Robert Grainer is a day laborer in the American West at the start of the twentieth century—an ordinary man in extraordinary times. Buffeted by the loss of his family, Grainer struggles to make sense of this strange new world. As his story unfolds, we witness both his shocking personal defeats and the radical changes that transform America in his lifetime.</p>
<p>Suffused with the history and landscapes of the American West—its otherworldly flora and fauna, its rugged loggers and bridge builders—the new novella by the National Book Award-winning author of <i>Tree of Smoke</i> captures the disappearance of a distinctly American way of life.</p>
<p>&nbsp;</p>"
9780374281151,Hallelujah Junction: Composing An American Life,"['Adams, John , 1947-']",
9780374281182,Unnatural Wonders: Essays From The Gap Between Art And Life,"['Danto, Arthur Coleman , 1924-']",
9780374281267,"Prague in Danger: The Years of German Occupation, 1939-45: Memories and History, Terror and Resistance, Theater and Jazz, Film and Poetr","['Demetz', 'Peter']","<p>Prague in Danger is a compulsive read, and very finely done. There is by now a mass of more or less analytical commentary on the Protectorate, and of course we have powerful memoirs and personal testimony. But I haven't seen the two genres combined in this way, and with such great sensitivity to the interplay of public and private.</p><p>Demetz conveys very poignantly, and with sharp insight, just what it was like to live day to day in occupied Prague, and moreover to live right at the intersection of the Czech, Jewish, and German spheres. He embodies exactly what was destroyed by Nazi thuggery and then by Czech vengefulness. I enjoyed too his forays into cultural history, and I hope they can be appreciated, even by those who know nothing of the background, as conveying a flavor of the period and place. The politics are likewise depicted with a sure touch and sound judgment, as well as with an eye for the unfamiliar vignette.</p>"
9780374281311,Divided By God: America's Church-state Problem-- And What We Should Do About It,"['Feldman, Noah , 1970-']",
9780374281335,Fast Company,['David M. Gross'],
9780374281342,"Secret Historian: The Life And Times Of Samuel Steward, Professor, Tattoo Artist, And Sexual Renegade","['Spring, Justin , 1962-']",
9780374281397,The Good Wife: A Novel,"[""Stewart O'nan""]","<p>On a clear winter night in upstate New York, two young men break in to a house. Within minutes, an old woman is dead and the house is in flames. Across the country, Patty Dickerson's phone rings. It's her husband. He wants her to know that he and his friend have gotten themselves into a little trouble. So Patty's old life ends and a strange new one begins. For the next twenty-eight years, she must live with the absence caused by her husband's incarceration, attempt to raise her son, and brave the scorn of her community. As unflinching as it is heartrending, <i>The Good Wife</i> confirms O'Nan's place as one of our country's most wide-ranging and empathetic masters.</p>"
9780374281403,The Free World: A Novel,['David Bezmozgis'],
9780374281410,Natasha: And Other Stories,['David Bezmozgis'],
